feature,coef,abs_coef
num__fused_grade_num,-0.19083176116692824,0.19083176116692824
num__hazard_has_collapse,0.18806981852058244,0.18806981852058244
cat__fused_grade_Ⅳ,0.16721976582101541,0.16721976582101541
cat__hazard_掉块+较明显反射异常+裂隙发育+围岩破碎+围岩等级建议+明显反射异常,-0.15080335030331476,0.15080335030331476
cat__hazard_掉块+明显反射异常+裂隙密集+围岩破碎+围岩等级建议+裂隙发育,-0.1429843642828356,0.1429843642828356
num__weighted_evidence_strength,-0.12389467082902358,0.12389467082902358
cat__hazard_明显反射异常+裂隙密集+围岩破碎+围岩等级建议+掉块+线-股状出水+出水+线状出水,0.12077888487601746,0.12077888487601746
num__rpm_std,-0.11349775087820033,0.11349775087820033
cat__uncertainty_medium,-0.1095581519074906,0.1095581519074906
cat__coverage_single,0.10695132553820241,0.10695132553820241
num__speed_mean,-0.09659577109972954,0.09659577109972954
cat__fused_grade_Ⅴ,-0.08053267379998277,0.08053267379998277
num__speed_median,-0.07552114342652304,0.07552114342652304
cat__uncertainty_low,0.07542994186480516,0.07542994186480516
cat__hazard_掉块+裂隙发育+围岩极破碎+围岩等级建议,-0.06968899382825418,0.06968899382825418
cat__coverage_none,-0.06608233795737227,0.06608233795737227
cat__hazard_无明显异常,-0.06608233795737227,0.06608233795737227
cat__fused_grade_,-0.06608233795737227,0.06608233795737227
num__thrust_std,0.04464975017754266,0.04464975017754266
cat__hazard_掉块+裂隙发育+围岩破碎+围岩等级建议+较明显反射异常+裂隙密集+围岩极破碎,-0.04442631831099575,0.04442631831099575
cat__hazard_掉块+明显反射异常+裂隙密集+围岩破碎+围岩等级建议,-0.04421962403031758,0.04421962403031758
cat__hazard_明显反射异常+裂隙发育+围岩破碎+围岩等级建议,0.04358024993987743,0.04358024993987743
cat__uncertainty_high,0.0408689875808307,0.0408689875808307
cat__hazard_明显反射异常+裂隙发育+围岩破碎+围岩等级建议+掉块+线状出水+出水,0.03622496763199015,0.03622496763199015
cat__coverage_multi,-0.034128210042685465,0.034128210042685465
num__hazard_has_water,0.033699407831691085,0.033699407831691085
num__active_source_count,-0.025599720316362214,0.025599720316362214
cat__hazard_明显反射异常+裂隙发育+围岩破碎+围岩等级建议+裂隙密集+围岩极破碎,-0.02232993607841607,0.02232993607841607
num__evidence_count,-0.01757964036859442,0.01757964036859442
cat__hazard_明显反射异常+裂隙发育+围岩等级建议,-0.013863976525515641,0.013863976525515641
cat__fused_grade_Ⅲ,-0.013863976525515641,0.013863976525515641
cat__hazard_明显反射异常+裂隙密集+围岩极破碎+围岩等级建议+裂隙发育+围岩破碎,-0.012048047218634313,0.012048047218634313
num__water_flag_fused,-0.011603653233759026,0.011603653233759026
cat__hazard_裂隙发育+围岩破碎+围岩等级建议,-0.010819785424407124,0.010819785424407124
num__collapse_evidence_count,0.010524498926951223,0.010524498926951223
cat__lithology_fused_板岩夹变质砂岩,0.0067407775381445045,0.0067407775381445045
cat__stability_fused_较差,0.0067407775381445045,0.0067407775381445045
cat__weathering_fused_弱风化,0.0067407775381445045,0.0067407775381445045
cat__rock_uniformity_fused_软硬不均,0.0067407775381445045,0.0067407775381445045
cat__hazard_裂隙发育+围岩破碎+围岩等级建议+明显反射异常+裂隙密集+围岩极破碎,-0.0038521811189014595,0.0038521811189014595
cat__hazard_明显反射异常+裂隙密集+围岩极破碎+围岩等级建议,-0.0028064781265757528,0.0028064781265757528
cat__hazard_明显反射异常+裂隙发育+围岩等级建议+围岩破碎,-0.0017780122875567504,0.0017780122875567504
num__torque_mean,-0.0010313961657330926,0.0010313961657330926
cat__hazard_明显反射异常+裂隙发育+围岩破碎+围岩等级建议+裂隙密集,-0.0007738791983735314,0.0007738791983735314
cat__hazard_裂隙发育+围岩破碎+围岩等级建议+明显反射异常,8.504208928476737e-05,8.504208928476737e-05
num__deformation_flag_fused,0.0,0.0
num__speed_min,0.0,0.0
num__deformation_evidence_count,0.0,0.0
num__hazard_has_deform,0.0,0.0
